0,1,2
25.565091995332033,25.21568143162468,26.534182308051378
26.71523551680054,26.51651552356686,27.283368021621364
27.599388416678543,27.594387727611597,27.65207422786289
27.39975082874298,27.417943654581904,27.390721943229437
26.788431762263183,27.158393232628708,25.843417494103317
27.26408761735901,27.371472820601312,27.017736837229577
26.569860384779968,26.572022557471865,26.603487123017185
26.02827739715576,25.933227203786373,26.32056736201048
26.085611514010008,26.024984880544718,26.286307051040705
25.93875699817322,25.880845091781836,26.132227323494178
